	DBRetailer	DBFavorita	DBYelp
10	3.2348955564591755e-15	2.326526732245814e-12	2.8119659974556808e-14
20	6.954261503666454e-15	1.1495045841906915e-13	5.925688188971574e-14
30	1.315732776122161e-14	1.3470906454631052e-13	9.962700001727317e-14
40	2.6275220561528752e-12	3.64478672491866e-13	1.5114571704749203e-12
50	3.645297324200408e-12	1.0178800669125961e-14	2.5418940672618432e-14
60	2.6988059475253563e-12	1.7391377984185583e-14	3.6202375681765346e-13
70	1.6982077823724831e-12	3.0958689979915035e-15	3.2577238070932137e-12
80	4.464896758682771e-12	1.0022710304254933e-13	3.72405156976418e-11
90	1.658332358836575e-11	3.5224924094372096e-14	6.174368837375756e-11
100	2.47748645295909e-11	1.927500502479692e-13	6.434021267705215e-10
