	DBRetailer	DBFavorita	DBYelp
5	2.8316198517118e-16	2.2504175464275274e-14	8.1807517657605145e-16
10	2.7148477628572648e-15	4.905408041172806e-14	2.4430502925131054e-15
15	1.0574220177057184e-14	2.154533570372044e-15	8.809391038602307e-15
20	9.693389842966483e-16	1.0696964690160299e-13	8.015787868085964e-15
25	1.1587677422271242e-15	5.3424521909690586e-14	6.204613847119396e-14
30	1.8650921525688684e-14	5.887760068430609e-14	2.1890341740824232e-13
35	9.165608788341504e-15	3.330722388561542e-14	9.646924447584032e-14
40	2.04749347469933e-15	1.0454662625628837e-13	4.115131549919531e-12
45	1.7366038368892254e-14	2.0261654737828707e-14	1.6681703770122887e-15
50	6.714753846550592e-14	8.10507494267864e-15	7.05833245832177e-14
55	1.7826021274847466e-13	2.889977989585554e-13	3.663895307612108e-15
60	1.3568210133629038e-15	1.6787712907224052e-14	3.964134942049891e-12
65	1.0442618222025387e-13	1.8790127505410478e-15	7.376245677556876e-12
70	4.9459281505292e-13	1.1292879086743445e-15	1.1724051142514728e-12
75	3.667181711475949e-12	2.1609900087201975e-15	3.28301856054436e-11
80	1.876464817470777e-15	1.839471779984002e-13	4.910329428560222e-11
85	1.3349971258196337e-15	1.417266601567519e-14	2.1232022750498627e-10
90	1.0816626282173256e-15	3.659702586348233e-14	5.938121472241163e-11
95	2.7303917403394783e-15	6.873748609087376e-13	4.0879914765970686e-10
100	1.0945237772115688e-14	2.4881937730603666e-13	4.1116626825981315e-12
